number,value,datetime_start,datetime_complete,duration,params_dense_units,params_gru_units,params_l2_strength,params_learning_rate,params_loss,params_n_layers,state
0,1.784064769744873,2025-07-29 13:45:05.944581,2025-07-29 14:03:50.567084,0 days 00:18:44.622503,32,64,1.6942442111777894e-05,0.0008591929770764513,mse,4,COMPLETE
1,1.009299874305725,2025-07-29 14:03:50.567340,2025-07-29 15:10:59.410339,0 days 01:07:08.842999,8,512,4.354069879152364e-05,0.0002755254820239147,mae,7,COMPLETE
2,2.019468307495117,2025-07-29 15:10:59.410659,2025-07-29 15:25:09.144471,0 days 00:14:09.733812,16,64,0.00022066138380395398,0.00032250467820366536,mse,3,COMPLETE
3,2.030259609222412,2025-07-29 15:25:09.144798,2025-07-29 15:52:20.965214,0 days 00:27:11.820416,32,64,0.000289211330740887,0.00020927144617204183,mse,6,COMPLETE
4,1.6245245933532715,2025-07-29 15:52:20.965536,2025-07-29 16:17:53.562095,0 days 00:25:32.596559,32,256,1.905523039881056e-05,0.00018083309770826803,mse,4,COMPLETE
5,0.9596647024154663,2025-07-29 16:17:53.562349,2025-07-29 16:30:54.287857,0 days 00:13:00.725508,16,256,5.985387351673873e-05,0.0006742270378388501,mae,2,COMPLETE
6,2.0262410640716553,2025-07-29 16:30:54.288115,2025-07-29 16:40:53.813920,0 days 00:09:59.525805,32,64,1.1330414839452644e-05,0.00012166333167779617,mse,2,COMPLETE
7,1.586401343345642,2025-07-29 16:40:53.814256,2025-07-29 17:06:28.315969,0 days 00:25:34.501713,32,256,9.125829258224448e-05,0.0002765539388883748,mse,4,COMPLETE
8,1.060531497001648,2025-07-29 17:06:28.316349,2025-07-29 17:22:04.856731,0 days 00:15:36.540382,32,128,5.098536939592102e-05,0.00021545585835872614,mae,3,COMPLETE
9,1.577290654182434,2025-07-29 17:22:04.857065,2025-07-29 18:06:29.508794,0 days 00:44:24.651729,16,256,0.0003469048540456968,0.0007348041026141512,mse,7,COMPLETE
10,1.1352717876434326,2025-07-29 18:06:29.509122,2025-07-29 18:14:48.937603,0 days 00:08:19.428481,16,32,0.0009442946377101649,0.000528326918602806,mae,2,COMPLETE
11,0.9620542526245117,2025-07-29 18:14:48.937994,2025-07-29 19:12:03.088139,0 days 00:57:14.150145,8,512,4.3606327501832405e-05,0.0004886482312469708,mae,6,COMPLETE
12,1.0079208612442017,2025-07-29 19:12:03.088466,2025-07-29 20:09:17.293029,0 days 00:57:14.204563,8,512,4.318285701293864e-05,0.00048757895041894094,mae,6,COMPLETE
13,0.9757422804832458,2025-07-29 20:09:17.293358,2025-07-29 20:57:24.865734,0 days 00:48:07.572376,8,512,0.00010248463374638506,0.0005178642477196594,mae,5,COMPLETE
